ANCG,SAR,JUR,CAB,MUN,VIN,OTR,sample,seascape
0,0,0,0,0,608.075152,0,78,7
0,0,0,0,0,0,0,79,7
0,0,0,0,0,0,0,80,7
0,0,0,0,0,1332.154192,0,81,7
0,0,0,0,0,0,0,82,7
0,0,0,0,0,0,0,83,7
0,0,0,0,0,0,0,84,7
0,0,0,0,0,0,0,85,7
0,0,0,0,0,0,0,86,7
0,0,0,0,0,5262.393659,0,87,7
0,0,0,0,0,5891.892883,0,88,7
0,0,0,0,0,0,0,89,7
0,0,0,0,0,1864.880237,0,90,7
0,0,0,0,0,3559.152597,0,91,7
0,0,0,0,0,1035.819484,0,92,7
0,0,0,0,0,129.617734,0,93,7
0,0,0,0,78.703396,0,0,94,7
0,0,0,0,49.958961,0,0,95,7
0,0,0,0,3.771341,0,0,96,7
0,0,0,0,84.459189,0,0,97,7
0,0,0,0,0.20254,0,0,98,7
0,0,0,0,10.528326,0,0,99,7
0,0,0,0,41.206994,0,0,100,7
0,0,0,0,20.215062,0,0,101,7
0,0,0,0,18.058355,0,0,102,7
0,0,0,0,0.326015,0,0,103,21
0,0,0,0,2.426512,0,0,104,21
0,0,0,0,36.205438,0,0,105,21
0,0,0,0,380.485509,0,0,106,21
0,0,0,0,458.5018,0,0,107,21
0,0,0,0,324.952654,0,0,108,21
76.104319,0,0,0,509.474244,0,0,109,21
45.41384,0,0,0,272.638894,0,0,110,21
53.228705,0,0,0,154.591071,0,0,111,21
111.779926,0,0,0,73.928113,0,0,112,21
0,0,0,0,83.391645,0,0,113,21
4.664786,0,0,0,0,0,0,114,21
0,0,0,0,0,0,0,115,21
0,0,0,0,0,0,0,116,21
0,0,0,0,0,0,0,117,21
0,0,0,0,0,0,0,118,21
0,0,0,0,0,0,0,119,21
0,0,0,0,0,0,0,120,21
0,0,0,0,0,0,0,121,14
0,0,0,0,0,0,0,122,14
0,0,0,0,0,0,0,123,14
0,0,0,0,0,0,0,124,14
0,0,0,0,0,0,0,125,14
0,0,0,0,0,0,0,126,14
0,0,0,0,0,0,0,127,14
0,0,0,0,0,0,0,128,14
0,0,0,0,0,0,0,129,14
0,0,0,0,0,0,0,130,14
0,0,0,0,0,0,0,131,14
0,0,0,0,0,0,0,132,14
0,0,0,0,0,0,0,133,14
0,0,0,0,0,0,0,134,14
0,0,0,0,0,90.321139,0,135,7
0,0,0,0,0,1917.745197,0,136,7
0,0,0,0,0,0,0,137,7
0,0,0,0,0,0,0,138,7
0,0,0,0,0,0,0,139,7
0,0,0,0,0,0,0,140,7
0,0,0,0,0,0,0,141,7
0,0,0,0,0,0,0,142,7
0,0,0,0,0,0,0,143,7
0,0,0,0,0,0,0,144,7
0,0,0,0,0,0,0,145,7
0,0,0,0,0,0,0,146,7
0,0,0,0,0,0,0,147,7
0,0,0,0,0,0,0,148,7
0,0,0,0,0,0,0,149,7
0,0,0,0,0,0,0,150,7
0,0,0,0,0,0,0,151,7
0,0,0,0,0,0,0,281,7
0,0,0,0,0,0,0,282,7
0,0,0,0,0,0,0,283,7
0,0,0,0,0,0,0,284,7
0,0,0,0,0,0,0,285,7
0,0,0,0,0,0,0,286,7
0,0,0,0,0,0,0,287,7
0,0,0,0,0,0,0,288,7
0,0,0,0,0,0,0,289,7
0,0,0,0,0,0,0,290,7
0,0,0,0,0,2381.50008,0,291,7
0,0,0,0,0,0,0,292,7
0,0,0,0,0,0,0,293,7
0,0,0,0,0,0,0,294,7
0,0,0,0,0,0,0,295,7
0,0,0,0,0,890.088883,0,296,7
0,0,0,0,0,104.611222,0,297,7
0,0,0,0,0,0,0,298,7
0,0,0,0,0,733.328433,0,299,7
0,0,0,0,0,1091.836925,0,300,7
0,0,0,0,0,0,0,301,7
0,0,0,0,0,0,0,302,7
0,0,0,0,0,151.786314,0,303,7
0,0,0,0,0,0,0,304,7
0,0,0,0,0,0,0,305,7
0,0,0,0,0,1729.98182,0,306,7
0,0,0,0,0,0,0,307,7
0,0,0,0,0,0,0,308,7
0,0,0,0,0,0,0,309,7
0,0,0,0,0,0,0,310,7
0,0,0,0,0,0,0,311,7
0,0,0,0,0,503.758988,0,312,7
0,0,0,0,0,4151.856849,0,313,7
0,0,0,0,0,0,0,314,7
0,0,0,0,0,2857.586596,0,315,7
0,0,0,0,0,2457.466276,0,316,7
0,0,0,0,0,3408.292324,0,317,7
0,0,0,0,0,0,0,318,14
0,0,0,0,0,857.24295,0,319,14
0,0,0,0,0,966.893338,0,320,14
0,0,0,0,0,331.947447,0,321,14
0,0,0,0,0,516.831495,0,322,14
0,0,0,0,0,0,0,323,14
0,0,0,0,0,0,0,324,21
0,0,0,0,0,0,0,325,21
0,0,0,0,0,0,0,326,21
0,0,0,0,0,0,0,327,21
0,0,0,0,0,0,0,328,21
0,0,0,0,0,0,0,329,21
0,0,0,0,3.0293,0,0,330,21
534.156694,0,0,0,46.429011,0,0,331,21
1959.058667,0,0,0,528.110782,0,0,332,21
7524.83439,0,0,0,777.075634,0,0,333,21
6817.163871,0,0,0,592.036738,0,0,334,21
61.672278,0,0,0,182.820462,0,0,335,21
328.316118,0,0,0,34.47076,0,0,336,21
0,0,0,0,5297.70837,0,0,337,21
0,0,0,0,7158.093753,0,0,338,21
0,0,0,0,19984.43461,0,0,339,21
0,0,0,0,8575.003684,0,0,340,21
0,0,0,0,6241.494357,0,0,341,21
0,0,0,0,4343.260227,0,0,342,21
3.469093,0,0,0,7114.437828,0,0,343,21
0,0,0,0,5674.014273,0,0,344,21
0,0,0,0,6931.983383,0,0,345,21
0,0,0,0,8473.356404,0,0,346,21
0,0,0,0,6497.043429,0,0,347,21
62.307544,0,0,0,9306.677605,0,0,348,21
325.172007,0,0,0,1961.13121,0,0,349,21
253.444541,0,0,0,159.366166,0,0,350,21
2170.878109,0,0,0,239.448739,0,0,351,21
5723.400813,0,0,0,293.160607,0,0,352,21
2671.957744,0,0,0,338.8106,0,0,353,21
24.710686,0,0,0,154.560935,0,0,354,21
0,0,0,0,14.463873,0,0,355,21
0,0,0,0,0,0,0,356,21
0,0,0,0,0,0,0,357,21
0,0,0,0,0,0,0,358,21
0,0,0,0,0,0,0,359,21
0,0,0,0,0,0,0,360,21
0,0,0,0,0,0,0,361,21
0,0,0,0,0,0,0,362,21
0,0,0,0,0,844.359895,0,363,21
0,0,0,0,0,6751.768895,0,364,21
0,0,0,0,0,0,0,365,21
0,0,0,0,0,0,0,366,21
0,0,0,0,0,0,0,367,21
0,0,0,0,0,0,0,368,21
0,0,0,0,0,0,0,369,21
0,0,0,0,0,0,0,370,21
0,0,0,0,0,0,0,371,21
0,0,0,0,0,0,0,372,21
0,0,0,0,0,0,0,373,7
0,0,0,0,0,0,0,374,7
0,0,0,0,0,0,0,375,21
0,0,0,0,0,0,0,376,7
0,0,0,0,0,0,0,385,7
0,0,0,0,0,0,0,386,7
0,0,0,0,0,0,0,387,7
0,0,0,0,0,0,0,388,7
0,0,0,0,0,0,0,389,7
0,0,0,0,0,0,0,390,7
0,0,0,0,0,0,0,391,7
0,0,0,0,0,0,0,392,7
0,0,0,0,0,5305.200306,0,393,7
0,0,0,0,0,1433.315122,0,394,7
0,0,0,0,0,0,0,395,7
0,0,0,0,0,0,0,396,7
0,0,0,0,0,0,0,397,7
0,0,0,0,0,0,0,537,7
0,0,0,0,0,0,0,538,7
0,0,0,0,0,110.524307,0,539,7
0,0,0,0,0,0.726198,0,540,7
0,0,0,0,0,46.467542,0,541,7
0,0,0,0,0,0,0,542,7
0,0,0,0,0,0,0,543,7
0,0,0,0,0,0,0,544,7
0,0,0,0,0,0,0,545,21
